date,open,high,low,close,volume,amount
2026-06-09,36.01,37.53,35.2,37.53,758854,2777157760
2026-06-10,39.66,39.9,35.31,35.8,1940058,7248661810
2026-06-11,35,35.64,32.9,33.35,1165708,3935602780
2026-06-12,33.74,35.68,32.06,32.22,1129970,3786313316
2026-06-15,32.79,33.39,31.87,33.23,891381,2931338866
2026-06-16,33.12,34.83,32.3,33.9,1082932,3650547273
2026-06-17,33.68,34.28,32.8,33.18,783462,2616954462
2026-06-18,33.53,36.5,33.29,36.5,729035,2578064708
2026-06-22,36.6,38.05,35.58,37.19,1374105,5063448918
2026-06-23,36.45,38.99,35.01,38.25,1326180,4997602449
2026-06-24,37.2,38.99,36.62,37.62,1083085,4079035495
2026-06-25,37.41,39.8,35.45,36.87,1233381,4639573331
2026-06-26,35.8,36.88,34.58,34.67,967452,3422097383
2026-06-29,35.02,36.23,32.93,33.94,792023,2719871748
2026-06-30,34.63,37.33,33.48,37.33,686300,2452028786
2026-07-01,39.01,41.06,39.01,41.06,541481,2197218339
2026-07-02,42.81,42.81,39.05,40.7,1756094,7230978491
2026-07-03,42.02,44.77,41.02,44.77,1267428,5508068594
